age	dataset	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	MAIN	kids_cat4	1	covid_icu	ethnicity	1	0.89	0.70	1.12	
0	MAIN	kids_cat4	1	covid_icu	ethnicity	2	0.95	0.42	2.19	
0	MAIN	kids_cat4	1	covid_icu	ethnicity	3	0.88	0.66	1.19	
0	MAIN	kids_cat4	1	covid_icu	ethnicity	4	1.07	0.69	1.68	
0	MAIN	kids_cat4	1	covid_icu	ethnicity	5	0.79	0.39	1.60	
0	MAIN	kids_cat4	2	covid_icu	ethnicity	1	0.95	0.75	1.21	
0	MAIN	kids_cat4	2	covid_icu	ethnicity	2	1.04	0.40	2.69	
0	MAIN	kids_cat4	2	covid_icu	ethnicity	3	1.08	0.78	1.49	
0	MAIN	kids_cat4	2	covid_icu	ethnicity	4	1.16	0.72	1.87	
0	MAIN	kids_cat4	2	covid_icu	ethnicity	5	1.56	0.84	2.90	
0	MAIN	kids_cat4	3	covid_icu	ethnicity	1	1.01	0.74	1.39	
0	MAIN	kids_cat4	3	covid_icu	ethnicity	2	0.97	0.34	2.75	
0	MAIN	kids_cat4	3	covid_icu	ethnicity	3	1.20	0.86	1.67	
0	MAIN	kids_cat4	3	covid_icu	ethnicity	4	0.61	0.31	1.17	
0	MAIN	kids_cat4	3	covid_icu	ethnicity	5	0.72	0.29	1.81	
1	MAIN	kids_cat4	1	covid_icu	ethnicity	1	1.39	0.77	2.50	
1	MAIN	kids_cat4	1	covid_icu	ethnicity	2	0.00	0.00	0.00	
1	MAIN	kids_cat4	1	covid_icu	ethnicity	3	1.35	0.74	2.49	
1	MAIN	kids_cat4	1	covid_icu	ethnicity	4	0.00	0.00	0.00	
1	MAIN	kids_cat4	1	covid_icu	ethnicity	5	0.00	0.00	0.00	
1	MAIN	kids_cat4	2	covid_icu	ethnicity	1	1.74	0.95	3.20	
1	MAIN	kids_cat4	2	covid_icu	ethnicity	2	0.00	0.00	0.00	
1	MAIN	kids_cat4	2	covid_icu	ethnicity	3	1.03	0.37	2.86	
1	MAIN	kids_cat4	2	covid_icu	ethnicity	4	0.81	0.11	5.96	
1	MAIN	kids_cat4	2	covid_icu	ethnicity	5	0.00	0.00	0.00	
1	MAIN	kids_cat4	3	covid_icu	ethnicity	1	0.00	0.00	0.00	
1	MAIN	kids_cat4	3	covid_icu	ethnicity	2	0.00	0.00	0.00	
1	MAIN	kids_cat4	3	covid_icu	ethnicity	3	1.25	0.50	3.16	
1	MAIN	kids_cat4	3	covid_icu	ethnicity	4	2.20	0.51	9.45	
1	MAIN	kids_cat4	3	covid_icu	ethnicity	5	0.00	0.00	0.00	
0	W2	kids_cat4	1	covid_icu	ethnicity	1	1.10	0.85	1.43	
0	W2	kids_cat4	1	covid_icu	ethnicity	2	0.81	0.23	2.84	
0	W2	kids_cat4	1	covid_icu	ethnicity	3	1.29	0.95	1.76	
0	W2	kids_cat4	1	covid_icu	ethnicity	4	1.16	0.55	2.45	
0	W2	kids_cat4	1	covid_icu	ethnicity	5	2.48	1.04	5.92	
0	W2	kids_cat4	2	covid_icu	ethnicity	1	1.03	0.79	1.35	
0	W2	kids_cat4	2	covid_icu	ethnicity	2	1.22	0.35	4.24	
0	W2	kids_cat4	2	covid_icu	ethnicity	3	1.22	0.85	1.75	
0	W2	kids_cat4	2	covid_icu	ethnicity	4	1.08	0.48	2.47	
0	W2	kids_cat4	2	covid_icu	ethnicity	5	2.74	1.03	7.32	
0	W2	kids_cat4	3	covid_icu	ethnicity	1	1.12	0.78	1.61	
0	W2	kids_cat4	3	covid_icu	ethnicity	2	1.36	0.39	4.75	
0	W2	kids_cat4	3	covid_icu	ethnicity	3	1.35	0.94	1.94	
0	W2	kids_cat4	3	covid_icu	ethnicity	4	0.67	0.24	1.92	
0	W2	kids_cat4	3	covid_icu	ethnicity	5	3.05	1.14	8.17	
1	W2	kids_cat4	1	covid_icu	ethnicity	1	0.95	0.47	1.93	
1	W2	kids_cat4	1	covid_icu	ethnicity	2	15.11	0.94	242.31	
1	W2	kids_cat4	1	covid_icu	ethnicity	3	1.52	0.87	2.65	
1	W2	kids_cat4	1	covid_icu	ethnicity	4	1.09	0.14	8.41	
1	W2	kids_cat4	1	covid_icu	ethnicity	5	1.64	0.20	13.35	
1	W2	kids_cat4	2	covid_icu	ethnicity	1	1.20	0.59	2.45	
1	W2	kids_cat4	2	covid_icu	ethnicity	2	0.00	0.00	0.00	
1	W2	kids_cat4	2	covid_icu	ethnicity	3	0.63	0.20	2.02	
1	W2	kids_cat4	2	covid_icu	ethnicity	4	3.12	0.71	13.77	
1	W2	kids_cat4	2	covid_icu	ethnicity	5	0.00	0.00	0.00	
1	W2	kids_cat4	3	covid_icu	ethnicity	1	1.54	0.57	4.13	
1	W2	kids_cat4	3	covid_icu	ethnicity	2	0.00	0.00	0.00	
1	W2	kids_cat4	3	covid_icu	ethnicity	3	2.32	1.23	4.37	
1	W2	kids_cat4	3	covid_icu	ethnicity	4	0.00	0.00	0.00	
1	W2	kids_cat4	3	covid_icu	ethnicity	5	0.00	0.00	0.00	

