age	dataset	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	MAIN	kids_cat4	1	covid_death	ethnicity	1	0.65	0.47	0.91	
0	MAIN	kids_cat4	1	covid_death	ethnicity	2	1.94	0.77	4.90	
0	MAIN	kids_cat4	1	covid_death	ethnicity	3	0.88	0.61	1.27	
0	MAIN	kids_cat4	1	covid_death	ethnicity	4	0.45	0.19	1.04	
0	MAIN	kids_cat4	1	covid_death	ethnicity	5	0.32	0.08	1.36	
0	MAIN	kids_cat4	2	covid_death	ethnicity	1	0.80	0.59	1.09	
0	MAIN	kids_cat4	2	covid_death	ethnicity	2	0.42	0.06	3.18	
0	MAIN	kids_cat4	2	covid_death	ethnicity	3	0.88	0.57	1.36	
0	MAIN	kids_cat4	2	covid_death	ethnicity	4	1.12	0.62	2.03	
0	MAIN	kids_cat4	2	covid_death	ethnicity	5	1.61	0.70	3.70	
0	MAIN	kids_cat4	3	covid_death	ethnicity	1	0.67	0.41	1.09	
0	MAIN	kids_cat4	3	covid_death	ethnicity	2	1.66	0.49	5.62	
0	MAIN	kids_cat4	3	covid_death	ethnicity	3	0.87	0.53	1.41	
0	MAIN	kids_cat4	3	covid_death	ethnicity	4	0.68	0.29	1.56	
0	MAIN	kids_cat4	3	covid_death	ethnicity	5	0.99	0.30	3.26	
1	MAIN	kids_cat4	1	covid_death	ethnicity	1	0.71	0.51	1.00	
1	MAIN	kids_cat4	1	covid_death	ethnicity	2	0.67	0.09	4.94	
1	MAIN	kids_cat4	1	covid_death	ethnicity	3	1.01	0.76	1.34	
1	MAIN	kids_cat4	1	covid_death	ethnicity	4	0.42	0.14	1.33	
1	MAIN	kids_cat4	1	covid_death	ethnicity	5	2.48	1.17	5.27	
1	MAIN	kids_cat4	2	covid_death	ethnicity	1	0.88	0.63	1.24	
1	MAIN	kids_cat4	2	covid_death	ethnicity	2	0.00	0.00	0.00	
1	MAIN	kids_cat4	2	covid_death	ethnicity	3	0.86	0.58	1.27	
1	MAIN	kids_cat4	2	covid_death	ethnicity	4	0.24	0.03	1.69	
1	MAIN	kids_cat4	2	covid_death	ethnicity	5	0.37	0.05	2.79	
1	MAIN	kids_cat4	3	covid_death	ethnicity	1	0.95	0.56	1.61	
1	MAIN	kids_cat4	3	covid_death	ethnicity	2	0.00	0.00	0.00	
1	MAIN	kids_cat4	3	covid_death	ethnicity	3	1.00	0.68	1.46	
1	MAIN	kids_cat4	3	covid_death	ethnicity	4	0.74	0.18	2.98	
1	MAIN	kids_cat4	3	covid_death	ethnicity	5	0.00	0.00	0.00	
0	W2	kids_cat4	1	covid_death	ethnicity	1	0.43	0.25	0.76	
0	W2	kids_cat4	1	covid_death	ethnicity	2	0.00	0.00	0.00	
0	W2	kids_cat4	1	covid_death	ethnicity	3	0.71	0.39	1.31	
0	W2	kids_cat4	1	covid_death	ethnicity	4	0.47	0.06	3.59	
0	W2	kids_cat4	1	covid_death	ethnicity	5	0.00	0.00	0.00	
0	W2	kids_cat4	2	covid_death	ethnicity	1	0.85	0.57	1.26	
0	W2	kids_cat4	2	covid_death	ethnicity	2	2.41	0.25	23.23	
0	W2	kids_cat4	2	covid_death	ethnicity	3	1.16	0.65	2.05	
0	W2	kids_cat4	2	covid_death	ethnicity	4	0.94	0.21	4.19	
0	W2	kids_cat4	2	covid_death	ethnicity	5	1.52	0.17	13.66	
0	W2	kids_cat4	3	covid_death	ethnicity	1	0.62	0.32	1.22	
0	W2	kids_cat4	3	covid_death	ethnicity	2	6.03	1.01	36.06	
0	W2	kids_cat4	3	covid_death	ethnicity	3	0.93	0.47	1.85	
0	W2	kids_cat4	3	covid_death	ethnicity	4	1.18	0.26	5.30	
0	W2	kids_cat4	3	covid_death	ethnicity	5	0.00	0.00	0.00	
1	W2	kids_cat4	1	covid_death	ethnicity	1	0.70	0.45	1.11	
1	W2	kids_cat4	1	covid_death	ethnicity	2	0.00	0.00	0.00	
1	W2	kids_cat4	1	covid_death	ethnicity	3	1.48	1.08	2.04	
1	W2	kids_cat4	1	covid_death	ethnicity	4	1.80	0.56	5.83	
1	W2	kids_cat4	1	covid_death	ethnicity	5	0.00	0.00	0.00	
1	W2	kids_cat4	2	covid_death	ethnicity	1	0.99	0.66	1.49	
1	W2	kids_cat4	2	covid_death	ethnicity	2	1.84	0.25	13.51	
1	W2	kids_cat4	2	covid_death	ethnicity	3	1.26	0.84	1.90	
1	W2	kids_cat4	2	covid_death	ethnicity	4	2.32	0.72	7.48	
1	W2	kids_cat4	2	covid_death	ethnicity	5	1.09	0.15	7.99	
1	W2	kids_cat4	3	covid_death	ethnicity	1	1.19	0.64	2.23	
1	W2	kids_cat4	3	covid_death	ethnicity	2	0.00	0.00	0.00	
1	W2	kids_cat4	3	covid_death	ethnicity	3	1.69	1.16	2.46	
1	W2	kids_cat4	3	covid_death	ethnicity	4	1.38	0.19	9.99	
1	W2	kids_cat4	3	covid_death	ethnicity	5	1.72	0.23	12.97	

