age	dataset	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	MAIN	kids_cat4	1	covidadmission	ethnicity	1	0.87	0.79	0.97	
0	MAIN	kids_cat4	1	covidadmission	ethnicity	2	1.03	0.67	1.59	
0	MAIN	kids_cat4	1	covidadmission	ethnicity	3	1.06	0.92	1.23	
0	MAIN	kids_cat4	1	covidadmission	ethnicity	4	0.79	0.61	1.02	
0	MAIN	kids_cat4	1	covidadmission	ethnicity	5	0.89	0.63	1.26	
0	MAIN	kids_cat4	2	covidadmission	ethnicity	1	0.98	0.88	1.10	
0	MAIN	kids_cat4	2	covidadmission	ethnicity	2	1.33	0.82	2.16	
0	MAIN	kids_cat4	2	covidadmission	ethnicity	3	1.20	1.01	1.41	
0	MAIN	kids_cat4	2	covidadmission	ethnicity	4	1.13	0.87	1.45	
0	MAIN	kids_cat4	2	covidadmission	ethnicity	5	1.30	0.90	1.88	
0	MAIN	kids_cat4	3	covidadmission	ethnicity	1	1.06	0.92	1.22	
0	MAIN	kids_cat4	3	covidadmission	ethnicity	2	1.92	1.24	2.97	
0	MAIN	kids_cat4	3	covidadmission	ethnicity	3	1.19	1.00	1.41	
0	MAIN	kids_cat4	3	covidadmission	ethnicity	4	0.92	0.69	1.21	
0	MAIN	kids_cat4	3	covidadmission	ethnicity	5	1.43	0.97	2.10	
1	MAIN	kids_cat4	1	covidadmission	ethnicity	1	1.06	0.83	1.34	
1	MAIN	kids_cat4	1	covidadmission	ethnicity	2	1.34	0.43	4.21	
1	MAIN	kids_cat4	1	covidadmission	ethnicity	3	1.16	0.93	1.45	
1	MAIN	kids_cat4	1	covidadmission	ethnicity	4	0.56	0.26	1.19	
1	MAIN	kids_cat4	1	covidadmission	ethnicity	5	1.00	0.44	2.30	
1	MAIN	kids_cat4	2	covidadmission	ethnicity	1	1.04	0.80	1.34	
1	MAIN	kids_cat4	2	covidadmission	ethnicity	2	0.57	0.08	4.19	
1	MAIN	kids_cat4	2	covidadmission	ethnicity	3	0.97	0.71	1.32	
1	MAIN	kids_cat4	2	covidadmission	ethnicity	4	1.32	0.70	2.50	
1	MAIN	kids_cat4	2	covidadmission	ethnicity	5	1.29	0.52	3.22	
1	MAIN	kids_cat4	3	covidadmission	ethnicity	1	1.00	0.65	1.54	
1	MAIN	kids_cat4	3	covidadmission	ethnicity	2	0.00	0.00	0.00	
1	MAIN	kids_cat4	3	covidadmission	ethnicity	3	1.39	1.05	1.83	
1	MAIN	kids_cat4	3	covidadmission	ethnicity	4	1.03	0.42	2.51	
1	MAIN	kids_cat4	3	covidadmission	ethnicity	5	0.45	0.06	3.13	
0	W2	kids_cat4	1	covidadmission	ethnicity	1	1.09	0.96	1.23	
0	W2	kids_cat4	1	covidadmission	ethnicity	2	0.54	0.26	1.15	
0	W2	kids_cat4	1	covidadmission	ethnicity	3	1.18	0.99	1.40	
0	W2	kids_cat4	1	covidadmission	ethnicity	4	1.13	0.76	1.69	
0	W2	kids_cat4	1	covidadmission	ethnicity	5	1.98	1.30	3.03	
0	W2	kids_cat4	2	covidadmission	ethnicity	1	1.15	1.01	1.31	
0	W2	kids_cat4	2	covidadmission	ethnicity	2	1.23	0.64	2.35	
0	W2	kids_cat4	2	covidadmission	ethnicity	3	1.41	1.17	1.70	
0	W2	kids_cat4	2	covidadmission	ethnicity	4	1.35	0.88	2.07	
0	W2	kids_cat4	2	covidadmission	ethnicity	5	1.84	1.08	3.14	
0	W2	kids_cat4	3	covidadmission	ethnicity	1	1.34	1.15	1.58	
0	W2	kids_cat4	3	covidadmission	ethnicity	2	1.46	0.78	2.73	
0	W2	kids_cat4	3	covidadmission	ethnicity	3	1.36	1.12	1.65	
0	W2	kids_cat4	3	covidadmission	ethnicity	4	1.78	1.21	2.62	
0	W2	kids_cat4	3	covidadmission	ethnicity	5	2.06	1.23	3.47	
1	W2	kids_cat4	1	covidadmission	ethnicity	1	0.86	0.62	1.18	
1	W2	kids_cat4	1	covidadmission	ethnicity	2	3.88	1.11	13.59	
1	W2	kids_cat4	1	covidadmission	ethnicity	3	1.08	0.84	1.39	
1	W2	kids_cat4	1	covidadmission	ethnicity	4	0.57	0.14	2.32	
1	W2	kids_cat4	1	covidadmission	ethnicity	5	0.28	0.04	2.03	
1	W2	kids_cat4	2	covidadmission	ethnicity	1	0.96	0.70	1.33	
1	W2	kids_cat4	2	covidadmission	ethnicity	2	0.00	0.00	0.00	
1	W2	kids_cat4	2	covidadmission	ethnicity	3	1.11	0.80	1.55	
1	W2	kids_cat4	2	covidadmission	ethnicity	4	1.17	0.37	3.72	
1	W2	kids_cat4	2	covidadmission	ethnicity	5	0.00	0.00	0.00	
1	W2	kids_cat4	3	covidadmission	ethnicity	1	0.83	0.47	1.47	
1	W2	kids_cat4	3	covidadmission	ethnicity	2	3.09	0.41	23.52	
1	W2	kids_cat4	3	covidadmission	ethnicity	3	1.61	1.21	2.14	
1	W2	kids_cat4	3	covidadmission	ethnicity	4	0.00	0.00	0.00	
1	W2	kids_cat4	3	covidadmission	ethnicity	5	0.00	0.00	0.00	

