age	dataset	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	1	0.94	0.91	0.97	
0	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	2	1.05	0.90	1.23	
0	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	3	1.09	1.03	1.15	
0	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	4	1.02	0.93	1.13	
0	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	5	1.08	0.95	1.23	
0	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	1	0.98	0.94	1.02	
0	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	2	1.40	1.16	1.70	
0	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	3	1.22	1.14	1.30	
0	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	4	1.02	0.90	1.16	
0	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	5	1.34	1.12	1.59	
0	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	1	0.94	0.90	0.99	
0	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	2	1.37	1.13	1.67	
0	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	3	1.14	1.07	1.22	
0	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	4	0.94	0.83	1.06	
0	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	5	1.22	1.01	1.46	
1	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	1	1.06	0.91	1.24	
1	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	2	0.91	0.34	2.46	
1	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	3	1.12	0.95	1.32	
1	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	4	0.69	0.41	1.17	
1	MAIN	kids_cat4	1	covid_tpp_prob	ethnicity	5	0.88	0.47	1.62	
1	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	1	0.85	0.71	1.03	
1	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	2	0.59	0.14	2.42	
1	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	3	1.06	0.85	1.32	
1	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	4	0.74	0.39	1.39	
1	MAIN	kids_cat4	2	covid_tpp_prob	ethnicity	5	1.04	0.51	2.15	
1	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	1	1.00	0.76	1.32	
1	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	2	1.08	0.26	4.48	
1	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	3	1.40	1.14	1.71	
1	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	4	0.88	0.44	1.79	
1	MAIN	kids_cat4	3	covid_tpp_prob	ethnicity	5	0.45	0.11	1.82	
0	W2	kids_cat4	1	covid_tpp_prob	ethnicity	1	1.03	1.02	1.05	
0	W2	kids_cat4	1	covid_tpp_prob	ethnicity	2	1.12	1.03	1.21	
0	W2	kids_cat4	1	covid_tpp_prob	ethnicity	3	1.14	1.10	1.18	
0	W2	kids_cat4	1	covid_tpp_prob	ethnicity	4	1.12	1.05	1.19	
0	W2	kids_cat4	1	covid_tpp_prob	ethnicity	5	1.43	1.33	1.54	
0	W2	kids_cat4	2	covid_tpp_prob	ethnicity	1	1.22	1.20	1.24	
0	W2	kids_cat4	2	covid_tpp_prob	ethnicity	2	1.30	1.17	1.43	
0	W2	kids_cat4	2	covid_tpp_prob	ethnicity	3	1.19	1.14	1.23	
0	W2	kids_cat4	2	covid_tpp_prob	ethnicity	4	1.17	1.08	1.27	
0	W2	kids_cat4	2	covid_tpp_prob	ethnicity	5	1.73	1.57	1.90	
0	W2	kids_cat4	3	covid_tpp_prob	ethnicity	1	1.20	1.18	1.23	
0	W2	kids_cat4	3	covid_tpp_prob	ethnicity	2	1.39	1.25	1.54	
0	W2	kids_cat4	3	covid_tpp_prob	ethnicity	3	1.33	1.28	1.38	
0	W2	kids_cat4	3	covid_tpp_prob	ethnicity	4	1.36	1.26	1.46	
0	W2	kids_cat4	3	covid_tpp_prob	ethnicity	5	1.82	1.66	2.00	
1	W2	kids_cat4	1	covid_tpp_prob	ethnicity	1	1.06	0.95	1.19	
1	W2	kids_cat4	1	covid_tpp_prob	ethnicity	2	1.03	0.48	2.20	
1	W2	kids_cat4	1	covid_tpp_prob	ethnicity	3	1.26	1.13	1.41	
1	W2	kids_cat4	1	covid_tpp_prob	ethnicity	4	0.92	0.56	1.50	
1	W2	kids_cat4	1	covid_tpp_prob	ethnicity	5	1.01	0.62	1.66	
1	W2	kids_cat4	2	covid_tpp_prob	ethnicity	1	1.17	1.04	1.31	
1	W2	kids_cat4	2	covid_tpp_prob	ethnicity	2	0.70	0.22	2.22	
1	W2	kids_cat4	2	covid_tpp_prob	ethnicity	3	1.16	0.99	1.36	
1	W2	kids_cat4	2	covid_tpp_prob	ethnicity	4	0.98	0.54	1.77	
1	W2	kids_cat4	2	covid_tpp_prob	ethnicity	5	1.33	0.74	2.39	
1	W2	kids_cat4	3	covid_tpp_prob	ethnicity	1	1.19	0.99	1.44	
1	W2	kids_cat4	3	covid_tpp_prob	ethnicity	2	1.06	0.34	3.38	
1	W2	kids_cat4	3	covid_tpp_prob	ethnicity	3	1.36	1.18	1.57	
1	W2	kids_cat4	3	covid_tpp_prob	ethnicity	4	0.81	0.38	1.71	
1	W2	kids_cat4	3	covid_tpp_prob	ethnicity	5	0.90	0.40	2.04	

