age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	kids_cat4	1	covid_tpp_prob	ethnicity	1	1.03	1.02	1.05	
0	kids_cat4	1	covid_tpp_prob	ethnicity	2	1.12	1.03	1.21	
0	kids_cat4	1	covid_tpp_prob	ethnicity	3	1.14	1.10	1.18	
0	kids_cat4	1	covid_tpp_prob	ethnicity	4	1.12	1.05	1.19	
0	kids_cat4	1	covid_tpp_prob	ethnicity	5	1.43	1.33	1.54	
0	kids_cat4	2	covid_tpp_prob	ethnicity	1	1.22	1.20	1.24	
0	kids_cat4	2	covid_tpp_prob	ethnicity	2	1.30	1.17	1.43	
0	kids_cat4	2	covid_tpp_prob	ethnicity	3	1.19	1.14	1.23	
0	kids_cat4	2	covid_tpp_prob	ethnicity	4	1.17	1.08	1.27	
0	kids_cat4	2	covid_tpp_prob	ethnicity	5	1.73	1.57	1.90	
0	kids_cat4	3	covid_tpp_prob	ethnicity	1	1.20	1.18	1.23	
0	kids_cat4	3	covid_tpp_prob	ethnicity	2	1.39	1.25	1.54	
0	kids_cat4	3	covid_tpp_prob	ethnicity	3	1.33	1.28	1.38	
0	kids_cat4	3	covid_tpp_prob	ethnicity	4	1.36	1.26	1.46	
0	kids_cat4	3	covid_tpp_prob	ethnicity	5	1.82	1.66	2.00	
1	kids_cat4	1	covid_tpp_prob	ethnicity	1	1.06	0.95	1.19	
1	kids_cat4	1	covid_tpp_prob	ethnicity	2	1.03	0.48	2.20	
1	kids_cat4	1	covid_tpp_prob	ethnicity	3	1.26	1.13	1.41	
1	kids_cat4	1	covid_tpp_prob	ethnicity	4	0.92	0.56	1.50	
1	kids_cat4	1	covid_tpp_prob	ethnicity	5	1.01	0.62	1.66	
1	kids_cat4	2	covid_tpp_prob	ethnicity	1	1.17	1.04	1.31	
1	kids_cat4	2	covid_tpp_prob	ethnicity	2	0.70	0.22	2.22	
1	kids_cat4	2	covid_tpp_prob	ethnicity	3	1.16	0.99	1.36	
1	kids_cat4	2	covid_tpp_prob	ethnicity	4	0.98	0.54	1.77	
1	kids_cat4	2	covid_tpp_prob	ethnicity	5	1.33	0.74	2.39	
1	kids_cat4	3	covid_tpp_prob	ethnicity	1	1.19	0.99	1.44	
1	kids_cat4	3	covid_tpp_prob	ethnicity	2	1.06	0.34	3.38	
1	kids_cat4	3	covid_tpp_prob	ethnicity	3	1.36	1.18	1.57	
1	kids_cat4	3	covid_tpp_prob	ethnicity	4	0.81	0.38	1.71	
1	kids_cat4	3	covid_tpp_prob	ethnicity	5	0.90	0.40	2.04	

